#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:55.266Z,0.800000011920929,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:56.598Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:57.93Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:59.595Z,-0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:00.927Z,-0.4000000059604645,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:02.259Z,-0.5,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:03.591Z,-0.699999988079071,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:04.923Z,-0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:05.922Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:07.587Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:08.919Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:09.918Z,0,Basic_metrics,VelocityY,Dji
